window_size,price_volume,price_occurrences,occurrences_volume,occurrences_occurrences,price_price,volume_volume,price_volume_coeff,price_occurrences_coeff,occurrences_volume_coeff,occurrences_occurrences_coeff,price_price_coeff,volume_volume_coeff,null_hyp
3,0.2203776723169061,0.20910068152893505,0.38219868273377733,1.0000000000000002,1.0,0.9999999999999999,3.4791053704354076e-7,6.133143563959254e-7,6.649910889517651e-5,0.00032326175881923963,2.6613441166689092e-8,9.36480951500476e-5,0.091
4,0.21748442152840894,0.2076443071251914,0.40348415878159233,1.0,1.0,1.0000000000000002,1.1115783074614977e-6,2.0040164299593995e-6,0.00021321732936661748,0.0009978502045116641,9.334630837724657e-8,0.0002798508761624819,0.091
5,0.21440752665404136,0.20925860802031176,0.41971790893527466,1.0,1.0000000000000002,1.0,2.3564997802218467e-6,4.405314102311623e-6,0.0004495444424382482,0.0020515462075621515,2.160258842302042e-7,0.0005591765649062371,0.096
6,0.21114281813033203,0.2103351743319064,0.43427048214219205,1.0,0.9999999999999999,0.9999999999999999,4.149184328105677e-6,8.007585579460333e-6,0.0007879132603781336,0.0035149679279472563,4.1234240471274893e-7,0.0009365152005107611,0.1
7,0.20804636417013816,0.21007511289457131,0.4476757531661254,1.0,0.9999999999999999,1.0,6.564321354513328e-6,1.2985820836197053e-5,0.0012423972619426769,0.005437033520150575,7.02793266145442e-7,0.0014165496946883507,0.105
8,0.20575053261474505,0.20835161006031233,0.459546726552035,1.0,1.0,1.0,9.696676319298486e-6,1.9470464407036903e-5,0.0018222911811883054,0.007862951834589158,1.1106399310143402e-6,0.001999818482193721,0.109
9,0.20511521766363652,0.20633694061197388,0.46973372035471844,1.0000000000000002,1.0,1.0,1.36799597877088e-5,2.7646489961808795e-5,0.002527217325122762,0.010808537348709204,1.6609597165025375e-6,0.002678025928647932,0.114
10,0.2063414451466724,0.20484414964500122,0.4781211941147215,1.0,1.0,1.0,1.8668178698308224e-5,3.772668514535559e-5,0.0033514836065399235,0.014269498329143622,2.3770672042632516e-6,0.0034434160778127024,0.118
11,0.20944019184486884,0.20426269989214932,0.4849679601548989,1.0000000000000002,1.0000000000000002,1.0,2.4841732148623962e-5,4.99455233641312e-5,0.004289163763349768,0.018232458483008914,3.2792140596045094e-6,0.004290164334866255,0.123
12,0.21414134208995106,0.20478006125440068,0.4905204158369486,1.0,1.0,1.0,3.2383334623511346e-5,6.456628583272285e-5,0.005334783554807269,0.022675496467539028,4.384090061213419e-6,0.0052163008030726545,0.128
14,0.2231756110292996,0.20815282887233513,0.49510311533659296,1.0,1.0,1.0000000000000002,4.314525430196588e-5,8.483661870361841e-5,0.0065772388002205895,0.028006747997601923,5.93115648988697e-6,0.006301344426238371,0.137
15,0.23224841158580675,0.2123800091311189,0.4981315515397801,1.0,0.9999999999999998,1.0000000000000002,5.571832943555507e-5,0.00010834833833960201,0.007905717982378982,0.0337489723258804,7.711816503808045e-6,0.0074633529682470315,0.142
17,0.24435574407129598,0.21964727989759836,0.49966845859263626,0.9999999999999998,1.0,1.0,7.228373362403515e-5,0.00013924259323425586,0.009392632396256779,0.0402840975630012,9.976056681868874e-6,0.008771566104168014,0.151
19,0.25858075324385255,0.2295203136679688,0.5001885229640829,1.0,0.9999999999999999,1.0,9.330725254857193e-5,0.0001787692587062828,0.011033048489988612,0.0476117680821611,1.2741750934086156e-5,0.010219021183924771,0.159
21,0.27395166113734964,0.24126097025606935,0.5002392244405418,1.0,1.0,0.9999999999999999,0.0001191639851791103,0.00022802225450681884,0.012837100572245283,0.05575814102632301,1.6020351645110192e-5,0.01181054984146814,0.167
24,0.2920119988958181,0.25610331893026383,0.5000576841156228,0.9999999999999998,1.0,1.0,0.00015271369146638565,0.0002928153205989583,0.014911825588878833,0.06519465950735814,2.005142107653483e-5,0.013639843864762248,0.178
26,0.30878764562186606,0.2697866655179745,0.4996245004640587,1.0,0.9999999999999999,1.0000000000000002,0.00019131695031723953,0.0003672639928134107,0.01716454130194578,0.07548363619299238,2.455064628874992e-5,0.015635945108094778,0.186
29,0.3252406022716412,0.2823354320631431,0.498252523977871,0.9999999999999999,1.0,1.0000000000000002,0.0002371542552115224,0.0004536899401010756,0.0196465968593157,0.0868971288019121,2.9715435819835786e-5,0.017892467029910444,0.198
33,0.34192383848039215,0.2940478814704391,0.4956000887120595,0.9999999999999999,0.9999999999999998,1.0,0.00029305220702920435,0.0005552610802879753,0.02242829317983177,0.09970763421729814,3.5762670887033184e-5,0.02054004006275216,0.213
36,0.3570916455930666,0.3044819647907828,0.49226827515113436,1.0000000000000002,1.0,1.0000000000000002,0.00035701443540505306,0.0006688808917481453,0.025437958237506074,0.1135433049057136,4.250234585314972e-5,0.023517939718978743,0.222
41,0.37242769165950274,0.3150796864845375,0.4875934664891011,1.0,1.0,1.0,0.00043570742684167954,0.0008041468056678821,0.02883342748713435,0.12900315510071686,5.0492810026098386e-5,0.027106687829073915,0.236
45,0.3866133694261267,0.32489208811172027,0.4823668335608755,0.9999999999999998,1.0,1.0000000000000002,0.0005272869650368748,0.0009568940364361936,0.03253800732200667,0.1456693086177256,5.9549945209070425e-5,0.031236255606405604,0.247
51,0.4006061943990935,0.3337517046876067,0.47579315247926246,0.9999999999999998,1.0000000000000002,1.0,0.0006392960241445452,0.0011325994518935787,0.03667851135601365,0.16393135356191596,7.024957225891422e-5,0.036251418267305525,0.265
56,0.413014761570386,0.3403398970225223,0.4687931383850931,0.9999999999999999,0.9999999999999999,1.0,0.0007687032180220784,0.0013226715352637535,0.04117128902701561,0.18338306927924944,8.23605145527918e-5,0.04205979958635276,0.279
63,0.42373644763154,0.34352198603887407,0.46074672252856763,1.0,0.9999999999999999,1.0,0.000922120549132134,0.001526301057205369,0.046130701836854686,0.20441915829373453,9.657166929494777e-5,0.04903814338900273,0.299
70,0.4319910606553726,0.34311131392649097,0.4516915443200783,0.9999999999999999,0.9999999999999999,1.0,0.0010991171269753568,0.0017391349431493302,0.051498871131202884,0.22713537351026333,0.00011311278850705038,0.05723039216548648,0.316
